utterance_ID,text,emotion,speaker
76,"Listen . As someone who seen more than her fair share of bad beef , I will tell you : that is not such a terrible thing .",neutral,Paula
77,"Come on , they are your friends , they are just looking out after you .",neutral,Paula
78,"I know . I just wish that once , I would bring a guy home that they actually liked .",sadness,Monica
79,"Well , you do realise the odds of that happening are a little slimmer if they never get to meet the guy ...",neutral,Paula
80,"Let it go , Ross .",neutral,Joey
81,"Yeah , well , you did not know Chi Chi .",anger,Ross
82,Do you all promise ?,neutral,Monica
83,Yeah ! We promise ! We will be good !,neutral,All
84,Chandler ? Do you promise to be good ?,neutral,Monica
85,"You can come in , but your filter ... tipped little buddy has to stay outside !",joy,Joey
86,"Hey , Pheebs .",neutral,Ross
87,Dear Ms . Buffay . Thank you for calling attention to our error . We have credited your account with five hundred dollars .,neutral,Phoebe
88,"We are sorry for the inconvenience , and hope you will accept this football phone ... as our free gift . Do you believe this ? ! Now I have a thousand dollars , and a football phone !",surprise,Phoebe
89,How was the game ?,neutral,Monica
90,Well ...,neutral,Ross
91,WE WON ! ! Thank you ! Yes !,joy,All
92,Fantastic ! I have one question : How is that possible ?,surprise,Monica
93,Alan .,neutral,Joey
94,"He was unbelievable . He was like that ... that ... that Bugs Bunny cartoon where Bugs is playing all the positions , right , but instead of Bugs it was first base ... Alan , second base ... Alan , third base ...",joy,Ross
95,"I mean , it ... it was like , it was like he made us into a team .",joy,Rachel
96,"Yep , we sure showed those Hassidic jewellers a thing or two about softball ...",joy,Chandler
97,Can I ask you guys a question ? Do you ever think that Alan is maybe ... sometimes ...,neutral,Monica
98,What ?,surprise,Ross
99,"I do not know , a little too Alan ?",neutral,Monica
100,"Well , no . That is impossible . He can never be too Alan .",surprise,Rachel
101,"Yeah , it is his , uh , innate Alan ... ness that ... that ... that we adore .",joy,Ross
102,I personally could have a gallon of Alan .,neutral,Chandler
103,"Well , maybe it is a contest , you know ? Like , collect all five ?",neutral,Chandler
104,"Does , um , anyone wanna see ?",neutral,Phoebe
105,Nooo ...,disgust,All
106,"Oh , hey , do not do that ! Cut it out !",anger,All
107,It is worse than the thumb !,disgust,Rachel
108,"Hey , this is so unfair !",anger,Chandler
109,"Oh , why is it unfair ?",surprise,Monica
110,So I have a flaw !,anger,Chandler
111,Big deal !,anger,Chandler
112,Like Joey constant knuckle ... cracking is not annoying ?,anger,Chandler
113,"And Ross , with his over ... pronouncing every single word ?",anger,Chandler
114,"And Monica , with that snort when she laughs ?",anger,Chandler
115,"I mean , what the hell is that thing ?",disgust,Chandler
116,"... I accept all those flaws , why can not you accept me for this ?",anger,Chandler
117,... Does the knuckle ... cracking bother everybody ?,anger,Joey
118,"Well , I ... I could live without it .",neutral,Rachel
119,"Well , is it , like , a little annoying , or is it like when Phoebe chews her hair ?",neutral,Joey
120,"Oh , now , do not listen to him , Pheebs , I think it is endearing .",neutral,Ross
121,"Oh , "" you do , do you "" ?",anger,Joey
122,"You know , there is nothing wrong with speaking correctly .",neutral,Ross
123,""" Indeed there is not "" ... I should really get back to work .",neutral,Rachel
124,"Yeah , cause otherwise someone might get what they actually ordered .",neutral,Phoebe
125,"Ohh ... ho ... hooohhh . The hair comes out , and the gloves come on .",anger,Rachel
126,Do you have any respect for your body ?,disgust,Joey
127,Do not you realise what you are ... you are doing to yourself ?,disgust,Ross
128,"Hey , you know , I have had it with you guys and your cancer and your emphysema and your heart disease .",anger,Chandler
129,"The bottom line is , smoking is cool , and you know it .",neutral,Chandler
130,"Chandler ? It is Alan , he wants to speak to you .",neutral,Rachel
131,Really ? He does ?,surprise,Chandler
132,"Hey , buddy , what up !",joy,Chandler
133,"Oh , she told you about that , huh .",surprise,Chandler
134,"Well , yeah , I have one now and then .",neutral,Chandler
135,"Well , yeah , now .",neutral,Chandler
136,"Well , it is not that big ...",neutral,Chandler
137,"Well , that is true ...",neutral,Chandler
138,"Gee , you know , no one ... no one ever put it like that before .",joy,Chandler
139,"Well , okay , thanks !",joy,Chandler
140,"God , he is good .",joy,Rachel
141,If only he were a woman .,neutral,Ross
142,Yeah .,neutral,Rachel
143,Remember when we went to Central Park and rented boats ? ... That was fun .,sadness,Rachel
144,Yeah . He could row like a viking .,sadness,Ross
145,Hi .,neutral,Monica
146,Mmm .,neutral,All
147,So how would it go ?,neutral,Ross
148,"Oh , you know ...",neutral,Monica
149,Did he mention us ?,neutral,Phoebe
150,He said he is really gonna miss you guys .,neutral,Monica
151,"You had a rough day , huh ?",sadness,Ross
152,"Oh , you have no idea .",sadness,Monica
153,How does she do that ?,surprise,Monica
154,I cannot sleep in a public place .,neutral,Ross
155,Would you look at her ? She is so peaceful .,joy,Monica
156,Oh ! What what what ! ... Hi .,surprise,Phoebe
157,"It is okay , you know , you just nodded off again .",neutral,Ross
158,What going on with you ?,surprise,Monica
159,I got no sleep last night !,anger,Phoebe
160,Why ?,neutral,Ross
161,"My grandmother has this new boyfriend , and they are both kind of insecure in bed ... and deaf .",disgust,Phoebe
162,"So they are constantly , like , having to reassure each other that they are having a good time .",neutral,Phoebe
163,You have no idea how loud they are !,disgust,Phoebe
164,"Well , if you want , you can stay with Rachel and me tonight .",neutral,Monica
165,Thanks .,joy,Phoebe
166,"So c mon , you guys , tell me all the dirt !",joy,Rachel
167,"Well , the biggest news is still you dumping Barry at the altar !",joy,Kiki
168,Alright . Let talk reality for a second .,neutral,Joanne
169,Okay .,neutral,Rachel
170,When are you coming home ?,neutral,Joanne
171,"What ? Guys , I am not .",surprise,Rachel
172,"C mon , this is us .",neutral,Joanne
173,I am not ! This is what I am doing now . I have got this job ...,neutral,Rachel
174,Waitressing ?,surprise,Kiki
175,"Okay , I am not just waitressing . I am ... I , um ...",neutral,Rachel
176,"I write the specials on the specials board , and , uh ...",neutral,Rachel
177,"and I , uh ... I take the uh dead flowers out of the vase ... Oh , and , um , sometimes Artelle lets me put the little chocolate blobbies on the cookies .",joy,Rachel
178,"Hey , Rach . How was it with your friends ?",neutral,Monica
179,Okay ! How would you like some Tiki Death Punch ?,joy,Monica
180,What that ?,neutral,Rachel
181,"Weeeell , it is rum , and ...",neutral,Monica
182,"Well , you will have to wait your turn .",neutral,Receptionist
183,"Well , how long do you think it will be ?",neutral,Joey
184,Any minute now .,neutral,Receptionist
185,"I am so sorry , you guys . I did not mean to bring you down .",sadness,Rachel
186,"No , you were right . I do not have a plan .",sadness,Monica
187,Pizza guy !,neutral,Pizza Guy
188,Thank God . Food .,joy,Rachel
189,Phoebe ?,neutral,Monica
190,What ?,neutral,Phoebe
191,Do you have a plan ?,neutral,Monica
192,I do not even have a pl .,sadness,Phoebe
193,"Hi , one , uh , mushroom , green pepper and onion ?",neutral,Pizza Guy
194,"No , no , that is not what we ordered ... We ordered a fat ... free crust with extra cheese .",sadness,Rachel
195,"Wait , you are not G . Stephanopoulos ? Man , my dad gonna kill me !",sadness,Pizza Guy
196,Wait ! Did you say G . Stephanopoulos ?,surprise,Monica
197,"Yeah . This one goes across the street , I must have given him yours . Oh , bonehead , bonehead !",anger,Pizza Guy
198,"Wait , was this a ... a small mediterranean guy with curiously intelligent good looks ?",surprise,Monica
199,"Yeah , that sounds about right .",neutral,Pizza Guy
200,Was he wearing a stunning blue suit ?,joy,Monica
201,And ... and a power tie ?,neutral,Phoebe
202,"No , pretty much just a towel .",neutral,Pizza Guy
203,Oh God .,surprise,Monica
204,So you guys want me to take this back ?,sadness,Pizza Guy
205,Are you nuts ? ! We have got George Stephanopoulos pizza !,surprise,Monica
206,"Uh , Pheebs ? Who George Snuffalopagus ?",neutral,Rachel
207,Big Bird friend .,neutral,Phoebe
208,I see pizza !,joy,Monica
209,"Oh , I wanna see ! Let me see ! Let me see !",joy,Phoebe
210,Hello ? Who are we spying on ?,sadness,Rachel
211,Light still out ?,neutral,Monica
212,Yeah .,neutral,Rachel
213,Oh . Maybe they are ... napping .,neutral,Monica
214,"Oh please , they are having sex .",sadness,Rachel
215,Shut up !,anger,Monica and Phoebe
216,"So , whaddya think George is like ?",neutral,Rachel
217,I think he is shy .,neutral,Monica
218,Yeah ?,surprise,Phoebe
219,Yeah . I think you have to draw him out . And then ... when you do ... he is a preppy animal .,neutral,Monica
220,There he is ! There he is !,surprise,Phoebe
221,Where ?,surprise,Monica
222,Right ... where we have been looking all night !,joy,Phoebe
223,He is so cute !,joy,Rachel
224,"Oh , George , baby , drop the towel !",joy,Monica
225,"Yeah , drop it ! Drop the towel ! Please drop the ... wowww .",joy,All
226,Man . Can you believe he is only had sex with one woman ?,surprise,Joey
227,"I think it is great . You know , it is sweet , it is romantic ...",joy,Chandler
228,Really ?,surprise,Joey
229,"No , you kidding ? The guy a freak . I judge him .",disgust,Chandler
230,"Hey , buddy .",neutral,Both
231,"Oh , that is attractive .",joy,Receptionist
232,"Oh , I thought you were great in Silence of the Lambs .",joy,Chandler
233,"Oh come on , admit it ! All things considered , you had fun tonight .",joy,Chandler
234,"Fun ? Where was the fun ? Tell me specifically , which part was the fun part ? Where is my puck ?",disgust,Ross
235,"Oh , ah ... the kid has it .",neutral,Joey
236,The kid ... ?,surprise,Ross
237,"Excuse me , uh , that is , that is my puck .",neutral,Ross
238,"I found it . Finders keepers , losers weepers .",neutral,Kid
239,"You gotta do it , man .",neutral,Chandler
240,"Oh yeah ? Well , I am rubber , you are glue , whatever you ... can not do it .",anger,Ross
241,"Listen , uh ... gimme back my puck .",neutral,Ross
242,No !,neutral,Kid
243,"Yes , how about . C mere . Gimme ! Give me my puck .",anger,Ross
244,Hey ! Hey ! No rough holding in my ER !,anger,Receptionist
245,GIVE ME MY PUCK ! !,anger,Ross
246,... Now that was fun .,joy,Ross
247,"Okay , Monica : Right foot red .",neutral,Ross
248,"Could have played Monopoly , but nooooo .",neutral,Monica
249,Thanks .,neutral,Chandler
250,"Okay , Pheebs : Right hand blue . Good .",neutral,Ross
251,"Hello ? Oh , uh , Rachel , it is the Visa card people .",neutral,Chandler
252,"Oh , okay . Will you take my place ?",neutral,Rachel
253,"Alright . Yes , this is Rachel .",neutral,Chandler
254,Nooo !,surprise,Rachel
255,Hello ?,neutral,Rachel
256,"Oh , yeah , no , I know , I ... I have not been using it much .",neutral,Rachel
257,"Oh , well , thanks , but , I am okay , really .",joy,Rachel
258,Green . To the green .,neutral,Ross
259,I have got magic beans . Never ... never mind .,neutral,Rachel
260,"To the left , to the left ... aww !",neutral,Chandler
261,Ohhh ... I am fine .,neutral,Rachel
262,"Oh , god help us .",surprise,Monica
263,What ?,surprise,Joey
264,Ugly Naked Guy laying kitchen tile . Eww !,disgust,Monica
265,"Look , I am asking a favor here . If I do this for her brother , maybe Angela will come back to me .",sadness,Joey
266,"I know , but , I made a huge mistake . I never should have broken up with her . Will you help me ? Please ?",sadness,Joey
267,"Ok , bye . Well , Monica not coming , it is just gonna be me and Rachel .",neutral,Ross
268,"Oh . Well , hold on camper , are you sure you have thought this thing through ?",neutral,Chandler
269,It is laundry . The thinking through is minimal .,neutral,Ross
270,"It is just you and Rachel , just the two of you ? This is a date . You are going on a date .",joy,Chandler
271,Nuh ... uh .,fear,Ross
272,Yuh ... huh .,joy,Chandler
273,"So what are you saying here ? I should shave again , pick up some wine , what ?",surprise,Ross
274,"Well , you may wanna rethink the dirty underwear .",disgust,Chandler
275,This is basically the first time she is gonna see your underwear ... you want it to be dirty ?,surprise,Chandler
276,No .,sadness,Ross
277,"Oh , and uh , the fabric softener ?",neutral,Chandler
278,"Ok , ok , now what is wrong with my Snuggles ?",anger,Ross
279,"Well , I am gonna get another espresso . More latte ?",neutral,Chandler
280,"No , no , I am still working on mine .",neutral,Janice
281,That is it ?,surprise,Chandler
282,"Yeah , it was really hard .",sadness,Phoebe
283,"Oh , yeah , that hug looked pretty brutal .",neutral,Chandler
284,"Ok , you were not there .",anger,Phoebe
285,"Coming through . Move , move .",anger,Woman
286,"Oh , excuse me . I was kinda using that machine .",joy,Rachel
287,"Yeah , well , now you are kinda not .",disgust,Woman
288,But I saved it . I put my basket on top .,neutral,Rachel
289,"Oh , I am sorry , is that your basket ? It is really pretty . Unfortunately , I do not see suds .",anger,Woman
290,What ?,surprise,Rachel
291,"No suds , no save . Ok ?",anger,Woman
292,What going on ?,neutral,Ross
293,"Hi , uh , nothing . That horrible woman just took my machine .",sadness,Rachel
294,Was your basket on top ?,neutral,Ross
295,"Yeah , but , there were no suds .",neutral,Rachel
296,So ?,neutral,Ross
297,"Well , you know , no suds , no save .",neutral,Rachel
298,"No suds ? Excuse me , hold on a second . That is my friend machine .",anger,Ross
299,"Hey , hey , hey , her stuff was not in it .",anger,Woman
300,"Hey , hey , hey , that is not the rule and you know it .",anger,Ross
301,"He is so cute . So , where did you guys grow up ?",joy,Monica
302,Brooklyn Heights .,neutral,Angela
303,Cleveland .,neutral,Bob
304,"How , how did that happen ?",surprise,Monica
305,Oh my god .,surprise,Joey
306,What ?,surprise,Monica
307,I suddenly had the feeling that I was falling . But I am not .,neutral,Joey
308,"So , you and Angela , huh ?",neutral,Joey
309,Yep . Pretty much .,joy,Bob
310,"I have gotta tell you , Bob is terrific .",joy,Monica
311,"Yeah , is not he ?",joy,Angela
312,"It is so great to meet a guy who is smart and funny , and has an emotional age beyond , like eight .",joy,Monica
313,You know what else ? He is unbelievable in bed .,joy,Angela
314,Wow . My brother never even told me when he lost his virginity .,surprise,Monica
315,Huh . That is nice .,neutral,Angela
316,"Ok , you can do this .",neutral,Phoebe
317,It is just like pulling off a Band ... aid .,neutral,Phoebe
318,"Just do it really fast , and then the wound is exposed .",neutral,Phoebe
319,"Janice . Hi , Janice .",neutral,Chandler
320,"Ok , here we go . I do not think we should go out anymore .",sadness,Chandler
321,Janice .,fear,Chandler
322,"All right . Well , there you go . Stop it , stop it , stop it .",sadness,Janice
323,"Ok , I know this is gonna sound really stupid , but I feel that if I can do this , you know , if I can actually do my own laundry , there is not anything I can not do .",joy,Rachel
324,That does not sound stupid to me .,neutral,Ross
325,"You know , it is like the first time I had to make dinner for myself , after Carol left me ?",neutral,Ross
326,"I am sorry , that is all the time we have .",sadness,Ross
327,Next on Ross ...,neutral,Ross
328,Ok . Uh ... oh .,fear,Ross
329,What uh ... oh ?,neutral,Rachel
330,"Uh ... oh , uh ... oh , the laundry done . It is , uh , it is a song . The laundry song that we sing . Uh ... oh the laundry done , uh ... oh , uh ... oh .",fear,Ross
331,"Ross , what the matter ?",anger,Rachel
332,"Nothing , nothing . Lee ... lo , the laundry done .",fear,Ross
333,"Something went wrong with Underdog , and they could not get his head to inflate .",joy,Monica
334,"So anyway , um , his head is like flopping down Broadway , right , and I am just thinking ... how inappropriate this is .",joy,Monica
335,"Um , I have got something in my eye , uh , Joey , could we check it in the light , please ?",neutral,Monica
336,Oh my god .,surprise,Monica
337,What ?,surprise,Joey
338,Hello ! Were we at the same table ? It is like ... cocktails in Appalachia .,anger,Monica
339,"Come on , they are close .",neutral,Joey
340,Close ? She is got her tongue in his ear .,disgust,Monica
341,"Oh , like you have never gotten a little rambunctious with Ross .",neutral,Joey
342,"Joey , this is sick , it is disgusting , it is , it is ... not really true , is it ?",disgust,Monica
343,"Well , who to say what true ? I mean ...",neutral,Joey
344,"Oh my god , what were you thinking ?",disgust,Monica
345,"All right , look , I am not proud of this , ok ? Well , maybe I am a little .",neutral,Joey
346,Oh !,surprise,Monica
347,Ow !,surprise,Joey
348,I am outta here .,disgust,Monica
349,"Wait , wait , wait . Come on . You want him , I want her . He likes you .",sadness,Joey
350,Really ?,surprise,Monica
351,"Yeah . I am thinking , if we put our heads together , between the two of us , we can break them up .",neutral,Joey
352,"Here is the thing , Janice . You know , I mean , it is like we are different . I am like the bing , bing , bing . You are like the boom , boom , ... boom .",neutral,Chandler
353,Ow !,surprise,Janice
354,"Oh , my god , I am so sorry . Are you ok ?",surprise,Chandler
355,"Ow . Um , it is just my lens . It is just my lens . I will be right back .",sadness,Janice
356,I hit her in the eye ! I hit her in the eye ! This is the worst break ... up in the history of the world .,sadness,Chandler
357,Oh my god !,surprise,Phoebe
358,How many of those have you had ?,neutral,Phoebe
359,"Oh , I do not know , a million ?",joy,Chandler
360,"Chandler , easy , easy . Go to your happy place . La la la la la la la .",neutral,Phoebe
361,I am fine .,neutral,Chandler
362,All right .,neutral,Phoebe
363,I am not fine . Here she comes .,fear,Chandler
364,Wait here . Breathe .,neutral,Phoebe
365,How do you do that ?,surprise,Chandler
366,It is like a gift .,neutral,Phoebe
367,We should always always break up together .,neutral,Chandler
368,"Oh , I would like that .",neutral,Phoebe
369,"Oh , are you sure you are ok ?",sadness,Rachel
370,Yeah .,neutral,Ross
371,Does it still hurt ?,sadness,Rachel
372,Yeah .,sadness,Ross
373,What a neat idea . All your clothes match . I am gonna do this .,joy,Phoebe
374,Hi .,neutral,Monica
375,"Hey , how would it go ?",neutral,Phoebe
376,Excellent .,joy,Joey
377,"We ripped that couple apart , and kept the pieces for ourselves .",joy,Monica
378,What a beautiful story .,joy,Ross
379,"Hey , I am fine by the way .",neutral,Ross
380,"Oh , I am sorry .",sadness,Monica
381,Where is Chandler ?,neutral,Rachel
382,"Oh , he needed some time to grieve .",neutral,Phoebe
383,I am free ! I am free !,joy,Chandler
384,That oughta do it .,neutral,Phoebe
385,I feel violated .,sadness,Rachel
386,"Did anybody else feel they just wanted to peel the skin off their body , to have something else to do ?",disgust,Monica
387,"Ross , ten o clock .",neutral,Chandler
388,Is it ? Feels like two .,sadness,Ross
389,"No , ten o clock .",neutral,Chandler
390,What ?,surprise,Ross
391,"There is a beautiful woman at eight , nine , ten o clock !",joy,Chandler
392,Oh . Hel ... lo !,joy,Ross
393,"She is amazing ! She makes the women that I dream about look like short , fat , bald men !",surprise,Chandler
394,"Well , go over to her ! She is not with anyone .",joy,Monica
395,"Oh yeah , and what would my opening line be ? Excuse me . Blarrglarrghh .",fear,Chandler
396,"Oh , c mon . She is a person , you can do it !",joy,Rachel
397,"Oh please , could she be more out of my league ? Ross , back me up here .",neutral,Chandler
398,He could never get a woman like that in a million years .,neutral,Ross
399,"Thank you , buddy .",neutral,Chandler
400,"Oh , oh , but you know , you always see these really beautiful women with these really nothing guys , you could be one of those guys .",neutral,Phoebe
401,You could do that !,joy,Monica
402,You think ?,surprise,Chandler
403,"... Dammit , hire the girl ! Okay , everybody ready ?",anger,Director
404,"Uh , listen , I just wanna thank you for this great opportunity .",joy,Joey
405,Lose the robe .,neutral,Director
406,Me ?,surprise,Joey
407,"Oh my God , it is her , it is that Victoria Secret model . Something ... something Goodacre .",surprise,Chandler
408,"Hi Mom , it is Jill .",neutral,Jill
409,"She is right , it is Jill . Jill Goodacre . Oh my God . I am trapped in an ATM vestibule with Jill Goodacre !",surprise,Chandler
410,"Yeah , I am fine . I am just stuck at the bank , in an ATM vestibule .",neutral,Jill
411,Jill says vestibule ... I am going with vestibule .,neutral,Chandler
412,"I am fine . No , I am not alone ... I do not know , some guy .",neutral,Jill
413,"Oh ! Some guy . Some guy . Hey Jill , I saw you with some guy last night . Yes , he was some guy .",joy,Chandler
414,"Alright , somebody .",neutral,Rachel
415,"OK , I will go . OK , senior year of college ... on a pool table .",neutral,Monica
416,Whoooaa !,surprise,All
417,That is my sister .,neutral,Ross
418,OK ... my weirdest place would have to be ... the women room on the second floor of the New York CIty public library .,neutral,Joey
419,Oh my God ! What were you doing in a library ?,surprise,Monica
420,"Pheebs , what about you ?",neutral,Ross
421,Oh ... Milwaukee .,neutral,Phoebe
422,Um ... Ross ?,neutral,Rachel
423,"Disneyland , 1989 , It is a Small World After All .",neutral,Ross
424,No way !,surprise,All
425,The ride broke down .,neutral,Ross
426,"So , Carol and I went behind a couple of those mechanical Dutch children ... then they fixed the ride , and we were asked never to return to the Magic Kingdom .",neutral,Ross
427,"Oh , Rachel .",neutral,Phoebe
428,"See , I see ... big passion in your future .",neutral,Ross
429,Really ?,surprise,Rachel
430,Mmmm .,neutral,Ross
431,You do ?,surprise,Rachel
432,I do .,neutral,Ross
433,"Oh Ross , you are so great .",joy,Rachel
434,"OK , you have got to promise that you will never , ever tell Ross that I told you .",neutral,Joey
435,About what ?,neutral,Monica
436,He is planning your birthday party .,neutral,Joey
437,Oh my God ! I love him !,surprise,Monica
438,You would better act surprised .,neutral,Joey
439,About what ?,neutral,Phoebe
440,My surprise party !,joy,Monica
441,What surprise party ?,surprise,Phoebe
442,Oh stop it . Joey already told me .,joy,Monica
443,"Well , he did not tell me .",neutral,Phoebe
444,"Hey , do not look at me . This is Ross thing .",neutral,Joey
445,This is so typical . I am always the last one to know everything .,anger,Phoebe
446,"No , you are not . We tell you stuff .",neutral,Monica
447,Yuh ... huh !,anger,Phoebe
448,I was the last one to know when Chandler got bitten by the peacock at the zoo .,anger,Phoebe
449,I was the last one to know when you had a crush on Joey when he was moving in .,anger,Phoebe
450,What ?,surprise,Joey
451,Looks like I was second to last .,surprise,Phoebe
452,Hmmm ... this is so nice .,joy,Rachel
453,"OK , I have a question . Well , actually , it is not so much a question as ... more of a general wondering ... ment .",neutral,Ross
454,OK .,neutral,Rachel
455,"OK . Here goes . For a while now , I have been wanting to , um ...",neutral,Ross
456,Ohhh ! ! ! !,surprise,Rachel
457,"Yes , yes , that is right ...",neutral,Ross
458,"Oh , look at the little cat !",surprise,Rachel
459,What ?,surprise,Ross
460,Ow !,fear,Ross
461,This is just Bactine . It will not hurt .,neutral,Monica
462,"Sorry , that was wax .",neutral,Joey
463,"Oh , poor little Tooty is scared to death . We should find his owner .",sadness,Phoebe
464,Why do not we just put poor little Tooty out in the hall ?,disgust,Ross
465,During a blackout ? He would get trampled !,anger,Rachel
466,Yeah ?,neutral,Ross
467,"Oh , look look look .",surprise,Phoebe
468,The last candle about to burn out .,neutral,Phoebe
469,"10 , 9 , 8 , 7 ... negative 46 , negative 47 , negative 48 ...",neutral,Phoebe
470,Thank you .,neutral,Ross
471,Thanks .,neutral,Phoebe
472,Kinda ... spooky without any lights .,fear,Ross
473,Bwah ... hah ... hah !,joy,Joey
474,"OK , guys , guys ? I have the definitive one . Mwwwooooo ... hah ... hah ...",joy,Ross
475,Oh ... oh ... oh .,neutral,Ross
476,"Hey Ross . This probably is not the best time to bring it up , but you have to throw a party for Monica .",neutral,Joey
477,"Well , this has been fun .",neutral,Jill
478,"Yes . Yes , thanks for letting me use your phone ... and for saving my life .",joy,Chandler
479,"Well , goodbye Chandler . I had a great blackout . See you .",neutral,Jill
480,"Hi , um , I am account number 7143457 .",neutral,Chandler
481,"And , uh , I do not know if you got any of that , but I would really like a copy of the tape .",neutral,Chandler
482,Dehydrated Japanese noodles under fluorescent lights ... does it,neutral,Chandler
483,"Question . You are not dating anybody , are you , because I met somebody who would be perfect for you .",neutral,Shelley
484,"Ah , yee , perfect might be a problem . Had you said co ... dependent , or self ... destructive ...",neutral,Chandler
485,Do you want a date Saturday ?,neutral,Shelley
486,Yes please .,neutral,Chandler
487,"Okay . He is cute , he is funny , he is ...",neutral,Shelley
488,He is a he ?,surprise,Chandler
489,Well yeah !,surprise,Shelley
490,... Oh God .,fear,Shelley
491,"I ... just ... I thought ... Good , Shelley .",anger,Shelley
492,I am just gonna go flush myself down the toilet now ...,disgust,Shelley
493,"Okay , goodbye ...",disgust,Shelley
494,"So , uh , how she doing ?",sadness,Ross
495,The doctor says it is a matter of hours .,sadness,Aunt Lillian
496,"How ... how are you , Mom ?",sadness,Monica
497,"Me ? I am fine , fine . I am glad you are here . ... What with your hair ?",anger,Mrs. Geller
498,What ?,surprise,Monica
499,What different ?,surprise,Mrs. Geller
500,Nothing .,neutral,Monica
501,"Oh , maybe that is it .",neutral,Mrs. Geller
502,"She is unbelievable , our mother is ...",anger,Monica
503,"Okay , relax , relax .",neutral,Ross
